node,time,ctime,time_dgemm,ctime_dgemm
1,42800.289917,1623.264036,415.566786,8.731678
2,21117.347917,498.163886,214.079742,9.246267
4,11882.027130,187.084807,117.440019,12.736186
8,5900.140694,40.530419,71.493456,15.962132

